step_start,step_end,mode,avg_time_s,tflops_per_gpu,loss
1920,1929,native,0.352803,132.62,11.967624
1930,1939,mori,0.299214,156.38,11.981615
1930,1939,native,0.351586,133.08,11.981615
1940,1949,mori,0.304258,153.78,11.963249
1940,1949,native,0.350719,133.41,11.963249
1950,1959,mori,0.297382,157.34,11.944688
1950,1959,native,0.349534,133.86,11.944688
1960,1969,mori,0.300229,155.85,11.972278
1960,1969,native,0.350852,133.36,11.972278
1970,1979,mori,0.316927,147.64,11.96679
1970,1979,native,0.351067,133.28,11.96679
1980,1989,mori,0.312557,149.7,11.975331
1980,1989,native,0.361444,129.45,11.975331
1990,1999,mori,0.303992,153.92,11.963552
1990,1999,native,0.348252,134.36,11.963552
