model,dtype,kernel,tokens,qp,repetitions,total_median_us,total_min_us,total_max_us,p95_rank_max_median_us,total_runs_us
v4_flash,bf16,v2,4,1,3,125.42754918304753,123.9828788514795,126.28340707481678,131.2930002808571,"[126.28340707481678, 125.42754918304753, 123.9828788514795]"
v4_flash,bf16,v2,4,2,3,130.16550180277434,127.43436394997968,136.35170001311806,136.95740029215813,"[136.35170001311806, 130.16550180277434, 127.43436394997968]"
v4_flash,bf16,v2,4,4,3,146.26949978189478,146.10681204317973,148.82563749039224,152.00499817728996,"[146.26949978189478, 148.82563749039224, 146.10681204317973]"
v4_flash,bf16,v2,4,8,3,189.23220859744168,179.38798010863107,190.79437034589978,194.61100101470947,"[189.23220859744168, 190.79437034589978, 179.38798010863107]"
v4_flash,bf16,v2,16,1,3,129.50207082683156,128.2577841815635,134.65220846460554,135.66099852323532,"[134.65220846460554, 129.50207082683156, 128.2577841815635]"
v4_flash,bf16,v2,16,2,3,134.25293053371897,131.5190987099476,143.21487677155127,142.96399876475334,"[143.21487677155127, 134.25293053371897, 131.5190987099476]"
v4_flash,bf16,v2,16,4,3,152.97820635846463,146.52240506758721,169.65402113594885,158.1319995224476,"[169.65402113594885, 152.97820635846463, 146.52240506758721]"
v4_flash,bf16,v2,16,8,3,184.2340576815708,182.55893691796166,192.41379695976602,193.92439872026443,"[192.41379695976602, 184.2340576815708, 182.55893691796166]"
v4_flash,bf16,v2,64,1,3,169.1472169397206,168.69138105740322,183.53347782976925,176.24399811029434,"[183.53347782976925, 168.69138105740322, 169.1472169397206]"
v4_flash,bf16,v2,64,2,3,171.0488248680686,168.8532861720385,177.9769673012197,178.2839998602867,"[177.9769673012197, 168.8532861720385, 171.0488248680686]"
v4_flash,bf16,v2,64,4,3,178.59084645671578,173.58765693317198,180.94682476708087,185.7800006866455,"[180.94682476708087, 178.59084645671578, 173.58765693317198]"
v4_flash,bf16,v2,64,8,3,205.2274822129001,204.09733993161856,211.71580099275914,215.70759564638138,"[211.71580099275914, 204.09733993161856, 205.2274822129001]"
v4_flash,bf16,v2,256,1,3,328.269733918895,327.82031589284026,329.13455090903005,335.7685983181,"[327.82031589284026, 329.13455090903005, 328.269733918895]"
v4_flash,bf16,v2,256,2,3,327.99841506920495,327.5009301844342,329.0390204638243,336.20800226926804,"[327.99841506920495, 329.0390204638243, 327.5009301844342]"
v4_flash,bf16,v2,256,4,3,311.947582707066,310.67166719906805,312.97833965448984,323.9214062690735,"[310.67166719906805, 311.947582707066, 312.97833965448984]"
v4_flash,bf16,v2,256,8,3,330.6809348889209,329.4183224889225,330.83386134741636,345.9129899740219,"[329.4183224889225, 330.6809348889209, 330.83386134741636]"
v4_flash,bf16,v2,1024,1,3,906.8786937358051,904.9841015888699,909.4676182059378,935.275387763977,"[904.9841015888699, 906.8786937358051, 909.4676182059378]"
v4_flash,bf16,v2,1024,2,3,908.1451401499838,907.6983474580378,908.261879700525,957.0049941539763,"[907.6983474580378, 908.261879700525, 908.1451401499838]"
v4_flash,bf16,v2,1024,4,3,849.419171311732,847.1897340797145,850.1515142491152,885.9656095504761,"[849.419171311732, 850.1515142491152, 847.1897340797145]"
v4_flash,bf16,v2,1024,8,3,784.3377520811969,775.3452861617351,790.7149272103762,888.4933829307556,"[775.3452861617351, 784.3377520811969, 790.7149272103762]"
v4_flash,bf16,v2,4096,1,3,3158.0764892800103,3157.9270879256314,3161.0422697046706,3177.1193981170654,"[3161.0422697046706, 3158.0764892800103, 3157.9270879256314]"
v4_flash,bf16,v2,4096,2,3,3967.2502723747284,3954.2871125299357,4017.976852711932,4255.022382736206,"[3967.2502723747284, 3954.2871125299357, 4017.976852711932]"
v4_flash,bf16,v2,4096,4,3,3438.067559024383,3436.790807493802,3508.0837845031556,3860.4654788970947,"[3438.067559024383, 3508.0837845031556, 3436.790807493802]"
v4_flash,bf16,v2,4096,8,3,2643.8661089231227,2636.4033423877995,2655.1456862482532,2808.487391471863,"[2643.8661089231227, 2636.4033423877995, 2655.1456862482532]"
v4_flash,bf16,v2,8192,1,3,6157.86037517005,6155.015269230152,6160.332479867442,6177.888965606689,"[6160.332479867442, 6155.015269230152, 6157.86037517005]"
v4_flash,bf16,v2,8192,2,3,7576.379026832252,7495.440437875945,7599.011334879645,8408.351421356201,"[7599.011334879645, 7495.440437875945, 7576.379026832252]"
v4_flash,bf16,v2,8192,4,3,6527.125215222096,6487.374257167866,6665.96142331074,7429.572772979736,"[6665.96142331074, 6487.374257167866, 6527.125215222096]"
v4_flash,bf16,v2,8192,8,3,5232.532897386058,5200.947230232173,5339.2870898904475,5743.513822555542,"[5200.947230232173, 5232.532897386058, 5339.2870898904475]"
v4_flash,bf16,v2,16384,1,3,12141.377475754967,12139.941852668237,12143.752311838085,12167.40083694458,"[12141.377475754967, 12139.941852668237, 12143.752311838085]"
v4_flash,bf16,v2,16384,2,3,15116.538168541316,15101.595012278392,15117.679545077784,16205.656051635742,"[15101.595012278392, 15117.679545077784, 15116.538168541316]"
v4_flash,bf16,v2,16384,4,3,13097.278403824774,13045.725366164897,13327.778535670248,14859.827327728271,"[13097.278403824774, 13327.778535670248, 13045.725366164897]"
v4_flash,bf16,v2,16384,8,3,18606.236540551843,16379.126908964125,24353.679393899853,63209.647369384766,"[16379.126908964125, 24353.679393899853, 18606.236540551843]"
v4_flash,bf16,v2_ll,4,1,3,88.24006439154518,87.71229728028692,121.54019559765685,98.39799851179123,"[121.54019559765685, 87.71229728028692, 88.24006439154518]"
v4_flash,bf16,v2_ll,4,2,3,95.00972599048039,94.79254941006415,96.01713546776566,102.80599892139435,"[95.00972599048039, 96.01713546776566, 94.79254941006415]"
v4_flash,bf16,v2_ll,4,4,3,112.50615931629878,110.72757946937506,113.61908365908111,119.29300129413605,"[110.72757946937506, 113.61908365908111, 112.50615931629878]"
v4_flash,bf16,v2_ll,4,8,3,148.1945167761296,144.7930253062654,150.88574082494296,155.98899871110916,"[150.88574082494296, 144.7930253062654, 148.1945167761296]"
v4_flash,bf16,v2_ll,16,1,3,94.98604070716377,93.49233800834367,97.77372829005893,101.70999765396118,"[94.98604070716377, 97.77372829005893, 93.49233800834367]"
v4_flash,bf16,v2_ll,16,2,3,98.78991137997343,98.62110326227186,99.25463974700662,105.67759945988655,"[98.62110326227186, 99.25463974700662, 98.78991137997343]"
v4_flash,bf16,v2_ll,16,4,3,116.1057239494704,115.84504495439087,116.9441634837281,122.71699756383896,"[116.1057239494704, 115.84504495439087, 116.9441634837281]"
v4_flash,bf16,v2_ll,16,8,3,152.57408820767085,150.0376763930223,155.61113322699634,162.74800300598145,"[155.61113322699634, 150.0376763930223, 152.57408820767085]"
v4_flash,bf16,v2_ll,64,1,3,137.0596075350226,136.56613117501396,137.32595212661244,145.00460028648376,"[137.32595212661244, 137.0596075350226, 136.56613117501396]"
